X,Y
15.15000057,0.000716929
15.19999981,0.000756984
15.25,0.000804191
15.30000019,0.000838046
15.35000038,0.00089479
15.40000057,0.000939612
15.44999981,0.000982528
15.5,0.00102592
15.55000019,0.001686816
15.60000038,0.001675849
15.65000057,0.001708274
15.69999981,0.000625732
15.75,-0.000402689
15.80000019,-0.000478506
15.85000038,-0.000502825
15.90000057,-0.000505686
15.94999981,-0.000506163
16,0.00612502
16.05000114,0.024958944
16.10000038,0.116936138
16.14999962,0.221074492
16.20000076,0.215586096
16.25,0.213077933
16.30000114,0.210417077
16.35000038,0.209415719
16.39999962,0.208991334
16.45000076,0.207265183
16.5,0.206831262
16.55000114,0.207236573
16.60000038,0.207527444
16.64999962,0.207322404
16.70000076,0.206459329
16.75,0.205920503
16.80000114,0.206163689
16.85000038,0.20478563
16.89999962,0.203517243
16.95000076,0.131372701
17,0.031159019
17.05000114,0.086028911
17.10000038,0.101373576
17.14999962,0.000798702
17.20000076,0.000674725
17.25,0.000636578
17.30000114,0.000669956
17.35000038,0.000722408
17.39999962,0.000921016
17.45000076,0.000964408
17.5,0.001013045
17.55000114,0.001054053
17.60000038,0.001096015
17.64999962,0.001142268
17.70000076,0.001189475
17.75,0.001228576
17.80000114,0.001265292
17.85000038,0.001312499
17.89999962,0.001344924
17.95000076,0.001387839
18,0.001413589
18.05000114,0.001440291
18.10000038,0.001459365
18.14999962,0.00148416
18.20000076,0.001505141
18.25,0.001814609
18.30000114,0.001851802
18.35000038,0.001883278
18.39999962,0.001887569
18.45000076,0.001892815
18.5,0.000637774
18.55000114,-0.000488997
18.60000038,-0.000531912
18.64999962,-0.000532866
18.70000076,-0.000537634
18.75,0.00625
18.80000114,0.026040887
18.85000038,0.120060745
18.89999962,0.226276785
18.95000076,0.221675307
19,0.216678053
19.05000114,0.214365393
19.10000038,0.212701231
19.14999962,0.210617349
19.20000076,0.209987924
19.25,0.208323762
19.30000114,0.207899377
19.35000038,0.207455918
19.39999962,0.207542941
19.45000076,0.207565591
19.5,0.207250878
19.55000114,0.206621453
19.60000038,0.206888482
19.64999962,0.209067628
19.70000076,0.217569739
19.75,0.25278667
19.80000114,0.292824477
19.85000038,0.137131155
19.89999962,0.001447201
19.95000076,0.001466274
20,0.001504421
20.05000114,0.001518726
20.10000038,0.00150919
20.14999962,0.001499896
20.20000076,0.001487975
20.25,0.001489406
20.30000114,0.001488452
20.35000038,0.001476531
20.39999962,0.001472239
20.45000076,0.00146318
20.5,0.001452689
20.55000114,0.001441722
20.60000038,0.001440768
20.64999962,0.001402025
20.70000076,0.001359706
20.75,0.001365905
20.80000114,0.00138021
20.85000038,0.001414423
20.89999962,0.001465087
20.95000076,0.00144649
21,0.001420264
21.05000114,0.001409774
21.10000038,0.000382781
21.14999962,-0.000663524
21.20000076,-0.00063539
21.25,-0.000628715
21.30000114,-0.00063539
21.35000038,0.001472217
21.39999962,0.01826746
21.45000076,0.15120326
21.5,0.160272747
21.55000114,0.16544643
21.60000038,0.168431431
21.64999962,0.171821788
21.70000076,0.173066333
21.75,0.174563602
21.80000114,0.176041797
21.85000038,0.176437572
21.89999962,0.176699832
21.95000076,0.1767952
22,0.191648766
22.05000114,0.191534325
22.10000038,0.192225739
22.14999962,0.193107888
22.20000076,0.193990037
22.25,0.195654199
22.30000114,0.204833314
22.35000038,0.161033295
22.39999962,0.108988717
22.45000076,0.134656951
22.5,0.061620712
22.55000114,0.001356602
22.60000038,0.001480579
22.64999962,0.001513958
22.70000076,0.0015378
22.75,0.001690631
22.80000114,0.001726871
22.85000038,0.001741176
22.89999962,0.001781707
22.95000076,0.001789813
23,0.001812224
23.05000114,0.001816039
23.10000038,0.001829867
23.14999962,0.001841788
23.20000076,0.001855617
23.25,0.00192524
23.30000114,0.002124558
23.35000038,0.002073536
23.39999962,0.002034912
23.45000076,0.002003918
23.5,-0.000459909
23.55000114,-0.000528574
23.60000038,-0.000552416
23.64999962,-0.000559092
23.70000076,-0.000562429
23.75,0.005200716
23.80000114,0.023076382
23.85000038,0.113598678
23.89999962,0.214231879
23.95000076,0.211885735
24,0.209368035
24.05000114,0.207398698
24.10000038,0.207694337
24.14999962,0.205925271
24.20000076,0.20542936
24.25,0.205376908
24.30000114,0.204623505
24.35000038,0.204323098
24.39999962,0.204338595
24.45000076,0.204070374
24.5,0.204337403
24.55000114,0.203655526
24.60000038,0.203584
24.64999962,0.204108521
24.70000076,0.209258363
24.75,0.252489813
24.80000114,0.297087401
24.85000038,0.299504966
24.89999962,0.208900735
24.95000076,0.001375675
25,0.001418591
25.05000114,0.001451969
25.10000038,0.001456738
25.14999962,0.001447201
25.20000076,0.001425033
25.25,0.001410251
25.30000114,0.001406436
25.35000038,0.001402621
25.39999962,0.001393085
25.45000076,0.001393561
25.5,0.001384025
25.55000114,0.00136972
25.60000038,0.001374488
25.64999962,0.001365428
25.70000076,0.001361136
25.75,0.001353507
25.80000114,0.001325493
25.85000038,0.001288657
25.89999962,0.001298671
25.95000076,0.00136662
26,0.001464133
26.05000114,0.001415019
26.10000038,0.001388793
26.14999962,0.001358752
26.20000076,0.001340156
26.25,0.000360967
26.30000114,-0.000647788
26.35000038,-0.000607252
26.39999962,-0.000602484
26.45000076,-0.0006001
26.5,-0.002382693
26.55000114,0.016143622
26.60000038,0.046985339
26.64999962,0.064027548
26.70000076,0.075609975
26.75,0.081703998
26.80000114,0.089719631
26.85000038,0.09361539
26.89999962,0.097854517
26.95000076,0.100992106
27,0.104186915
27.05000114,0.107024148
27.10000038,0.107324556
27.14999962,0.111077264
27.20000076,0.113995507
27.25,0.137055442
27.30000114,0.13928704
27.35000038,0.142181441
27.39999962,0.143220946
27.45000076,0.146744832
27.5,0.169070438
27.55000114,0.207775399
27.60000038,0.137128163
27.64999962,0.070298009
27.70000076,0.101368807
27.75,0.000245571
27.80000114,0.000293255
27.85000038,0.000302792
27.89999962,0.000331402
27.95000076,0.000374317
28,0.000530958
28.05000114,0.000573874
28.10000038,0.000598669
28.14999962,0.000635867
28.20000076,0.000658278
28.25,0.000682597
28.30000114,0.000703578
28.35000038,0.000733142
28.39999962,0.000759845
28.45000076,0.000782733
28.5,0.000911479
28.55000114,0.001273875
28.60000038,0.001358275
28.64999962,0.001415019
28.70000076,0.000486972
28.75,-0.000356913
28.80000114,-0.000468493
28.85000038,-0.000502348
28.89999962,-0.000495195
28.95000076,-0.000499964
29,0.000235773
29.05000114,0.002792011
29.10000038,0.024322843
29.14999962,0.117081117
29.20000076,0.222667128
29.25,0.218542486
29.30000114,0.216668516
29.35000038,0.213478476
29.39999962,0.212157533
29.45000076,0.211242005
29.5,0.209849641
29.55000114,0.208190247
29.60000038,0.20847635
29.64999962,0.206106469
29.70000076,0.2061923
29.75,0.205825135
